Inkname                  ,C,M,Y,K,R,G,B,InGamut,DeltaE,Lin,ain,bin,Lout,aout,bout
7622,28,100,85,54,0,0,0,0,0.357,37.05,46.3,21.47,37.46,46.24,21.3
7623,43,100,92,49,0,0,0,1,0.405,35.71,42.61,22.64,36.19,42.55,22.71
7624,59,100,92,45,0,0,0,1,0.292,33.93,37.78,18.68,34.27,37.59,18.54
7625,2,94,88,0,0,0,0,1,0.169,59.1,62.43,43.29,58.94,62.58,43.21
7626,22,98,98,1,0,0,0,0,0.453,50.64,61.57,45.71,50.82,61.86,44.98
7627,4,100,95,52,0,0,0,1,0.363,40.91,52.86,32.95,41.28,52.62,33.07
7628,16,100,92,52,0,0,0,1,0.392,39.09,49.95,28.34,39.53,49.73,28.27
7629,76,100,96,41,0,0,0,1,0.435,29.89,25.96,13.22,30.41,26.32,13.33
7630,88,100,98,7,0,0,0,1,0.335,29.27,21.95,9.31,29.66,21.71,9.15
7631,78,100,92,59,0,0,0,1,0.314,26.48,20.26,7.57,26.86,20.04,7.52
7632,20,25,18,0,0,0,0,1,0.717,87.28,5.15,0.93,86.84,5.75,0.93
7633,37,50,35,0,0,0,0,1,0.407,74.31,11.85,2.74,74.07,12.25,3.02
7634,40,84,43,0,0,0,0,1,0.519,58.29,40.69,0.49,58.82,40.23,0.71
7635,24,98,54,0,0,0,0,1,0.089,51.19,65.15,10.71,51.12,65.3,10.81
7636,2,100,59,34,0,0,0,0,0.92,46.03,64.69,17.72,46.97,64.18,17.59
7637,69,100,79,0,0,0,0,1,0.299,38.84,44.58,7.73,39.04,44.9,8.16
7638,78,100,84,0,0,0,0,1,0.244,34.55,36.48,5.6,34.84,36.48,5.5
7639,70,81,63,0,0,0,0,1,0.151,51.02,18.93,0.62,50.99,18.73,0.49
7640,68,97,72,4,0,0,0,1,0.225,40.49,40.45,3.15,40.4,40.48,2.78
7641,53,100,68,40,0,0,0,1,0.328,36.12,44.97,6.25,36.5,44.78,6.15
7642,78,100,70,32,0,0,0,1,0.347,30.83,33.32,-3.15,31.28,33.24,-3.14
7643,85,100,77,20,0,0,0,1,0.297,29.11,27.03,-3.64,29.47,26.84,-3.69
7644,87,100,76,38,0,0,0,1,0.355,26.57,21.16,-5.65,27.01,21.34,-5.81
7645,82,100,71,68,0,0,0,1,0.243,24,19.18,-4.01,24.33,19.21,-4.04
7646,60,83,42,0,0,0,0,1,0.147,53.25,31.1,-7.29,53.32,31.4,-7.34
7647,58,100,42,0,0,0,0,1,0.215,42.91,54.58,-7.61,42.72,54.66,-7.34
7648,29,100,1,52,0,0,0,0,1.106,36.98,54.53,-10.44,38.26,53.9,-10.4
7649,40,100,0,60,0,0,0,0,1.22,33.43,50,-13.58,34.83,48.69,-12.93
7650,64,100,25,54,0,0,0,0,0.416,30.81,41.61,-12.58,31.34,41.6,-12.62
7651,75,100,35,45,0,0,0,0,0.344,29.57,35.75,-15.46,29.98,35.87,-15.72
7652,74,100,33,57,0,0,0,0,0.313,27.55,33.1,-14.37,27.96,33.18,-14.43
7653,67,64,43,0,0,0,0,1,0.188,60.63,6.96,-7.12,60.61,7.05,-7.37
7654,60,75,26,0,0,0,0,1,0.491,58.2,23.46,-14.07,57.74,23.99,-14.16
7655,61,85,10,0,0,0,0,1,0.362,52.3,37.24,-22.43,52.21,37.75,-22.01
7656,68,94,14,1,0,0,0,1,0.185,43.9,43.21,-23.3,44.01,42.92,-22.97
7657,81,100,42,18,0,0,0,1,0.489,31.53,37.03,-18.81,32.14,37.24,-18.77
7658,85,99,59,0,0,0,0,1,0.154,32.05,32.63,-15.22,32.22,32.49,-15.09
7659,89,99,71,1,0,0,0,1,0.228,30.6,25.65,-12.28,30.84,25.72,-12.52
7660,65,57,33,0,0,0,0,1,0.56,63.79,4.03,-10.4,63.67,4.42,-10.22
7661,72,78,29,0,0,0,0,1,0.2,52.37,18.42,-18.97,52.44,18.25,-19.14
7662,80,93,18,0,0,0,0,1,0.384,40.55,32.13,-28.8,40.86,32.6,-28.68
7663,84,97,23,0,0,0,0,1,0.124,35.09,35.65,-29.97,35.15,35.9,-29.98
7664,87,97,21,0,0,0,0,1,0.653,33.23,32.35,-33.3,33.59,33.08,-32.73
7665,89,96,43,1,0,0,0,1,0.209,32.76,26.83,-25.55,33.01,26.97,-25.67
7666,90,89,69,0,0,0,0,1,0.349,37.36,8.28,-12.06,37.56,8.57,-12.01
7667,81,65,28,0,0,0,0,1,0.182,54.64,-1.35,-23.48,54.82,-1.43,-23.48
7668,86,75,17,0,0,0,0,1,0.106,48.48,5.41,-32.75,48.58,5.43,-32.79
7669,87,80,5,1,0,0,0,1,0.533,44.52,13.83,-38.45,44.43,14.45,-38.57
7670,92,85,7,0,0,0,0,1,0.176,40.26,13.01,-41.48,40.17,13.18,-41.8
7671,92,87,9,0,0,0,0,1,0.315,38.42,15.04,-41.36,38.78,15.05,-41.39
7672,92,89,16,0,0,0,0,1,0.343,37.17,16.23,-38.38,37.5,16,-38.38
7673,90,83,30,0,0,0,0,1,0.062,41.16,7.29,-31.08,41.14,7.22,-31.23
7674,72,54,8,0,0,0,0,1,0.454,62.42,2.53,-27.09,62.91,2.74,-26.58
7675,79,65,12,0,0,0,0,1,0.178,56.36,4.49,-29.57,56.22,4.33,-29.7
7676,82,80,7,0,0,0,0,1,0.566,47.33,17.2,-35.17,46.96,17.76,-35.39
7677,85,86,7,0,0,0,0,1,0.46,42.77,21.3,-36.89,42.51,20.89,-37.18
7678,85,88,9,0,0,0,0,1,0.275,41.28,22.87,-36.6,41.41,23.08,-36.29
7679,90,90,16,0,0,0,0,1,0.165,37.78,19.34,-37.14,37.97,19.3,-36.99
7680,94,95,18,0,0,0,0,1,0.081,32.18,23.99,-39.3,32.2,23.89,-39.06
7681,65,38,1,0,0,0,0,1,0.056,71.07,-2.77,-25.58,71.03,-2.7,-25.56
7682,82,58,3,0,0,0,0,1,0.296,57.3,-1.75,-35.05,57.08,-1.63,-35.4
7683,92,70,3,0,0,0,0,1,0.342,46.89,-1.29,-42.86,47.22,-1.44,-42.78
7684,96,77,6,0,0,0,0,1,0.345,42.07,1.16,-44.51,41.74,1.05,-45.23
7685,98,81,7,0,0,0,0,1,0.336,38.36,1.7,-46.79,38.27,2.08,-47.04
7686,100,83,11,0,0,0,0,1,0.173,36.58,1.08,-46.31,36.38,1.14,-46.28
7687,100,85,0,9,0,0,0,0,1.198,32.98,5.01,-49.78,34.12,6.31,-48.59
7688,87,40,0,0,0,0,0,1,0.274,60.79,-15.85,-39.12,61.09,-15.86,-38.9
7689,93,45,1,0,0,0,0,1,0.176,56.02,-18.02,-42.85,55.85,-17.82,-42.77
7690,98,61,20,0,0,0,0,1,0.485,46.65,-19.25,-40.17,47.11,-19.6,-40.1
7691,100,57,0,34,0,0,0,0,0.82,39.66,-15.41,-42.9,40.57,-15.12,-42.41
7692,100,73,17,37,0,0,0,1,0.382,34.44,-8.69,-36.43,34.89,-8.9,-36.51
7693,100,70,2,60,0,0,0,1,0.254,30.49,-6.34,-34.58,30.81,-6.36,-34.72
7694,100,66,1,71,0,0,0,0,1.196,27.41,-7.6,-31.06,28.83,-7.72,-30.13
7695,74,32,21,0,0,0,0,1,0.325,68.85,-13.3,-19.69,69.23,-13.23,-19.47
7696,81,41,29,0,0,0,0,1,0.204,62.75,-16.44,-20.2,62.76,-16.09,-20.04
7697,87,51,35,0,0,0,0,1,0.32,56.06,-16.26,-22.18,56.21,-16.43,-21.71
7698,92,67,43,0,0,0,0,1,0.171,47.74,-12.24,-24.04,47.91,-12.24,-24.02
7699,94,76,51,0,0,0,0,1,0.279,42.35,-9.68,-23.36,42.61,-9.68,-23.09
7700,97,79,47,1,0,0,0,1,0.307,39.34,-9.58,-27.75,39.61,-9.95,-27.94
7701,100,73,44,23,0,0,0,1,0.362,36.34,-16.77,-27.91,36.75,-16.53,-27.78
7702,81,17,14,4,0,0,0,1,0.156,67.98,-24.63,-27.12,68.18,-24.66,-27.11
7703,92,24,19,0,0,0,0,1,0.363,60.94,-29.8,-32.88,60.57,-29.72,-33.25
7704,100,40,25,0,0,0,0,1,0.25,50.92,-34.05,-37.4,50.98,-33.45,-37.42
7705,100,46,24,26,0,0,0,1,0.361,44.41,-27.73,-34.27,44.78,-27.47,-34.09
7706,100,61,39,0,0,0,0,1,0.426,43.9,-26.06,-32.23,44.28,-26.32,-31.85
7707,100,63,41,18,0,0,0,1,0.38,40.91,-23.86,-29.01,41.32,-23.63,-29.04
7708,100,48,28,57,0,0,0,1,0.331,36.56,-23.25,-26.86,36.93,-22.98,-26.82
7709,77,13,29,0,0,0,0,1,0.282,71.35,-25.68,-15.81,71.59,-25.96,-15.61
7710,91,11,34,0,0,0,0,1,0.131,63.42,-38.35,-23.42,63.28,-38.29,-23.52
7711,98,17,41,0,0,0,0,1,0.211,57.42,-45.39,-25.86,57.63,-45.29,-26.02
7712,99,35,43,0,0,0,0,1,0.078,51.62,-40.69,-28.5,51.66,-40.57,-28.56
7713,100,18,44,32,0,0,0,0,0.356,48.08,-42.84,-23.03,48.43,-42.63,-22.88
7714,100,26,50,26,0,0,0,1,0.3,47.4,-42.51,-20.22,47.68,-42.18,-20.12
7715,100,38,52,51,0,0,0,1,0.411,39.22,-33.65,-17.19,39.68,-33.41,-17.2
7716,93,27,59,0,0,0,0,1,0.193,57.87,-40.46,-10.71,57.7,-40.18,-10.77
7717,98,40,69,0,0,0,0,1,0.233,49.73,-45.84,-9.72,49.85,-46,-9.42
7718,100,16,61,43,0,0,0,1,0.404,44.57,-45.6,-11.79,44.99,-45.43,-11.59
7719,100,46,66,30,0,0,0,1,0.288,41.61,-38.66,-11.74,41.92,-38.55,-11.61
7720,100,65,72,21,0,0,0,1,0.355,38.35,-31.68,-9.66,38.7,-31.3,-9.72
7721,100,65,69,27,0,0,0,1,0.314,37.29,-28.99,-12.21,37.63,-28.7,-12.09
7722,100,58,66,63,0,0,0,1,0.345,32.03,-24.79,-10.69,32.43,-24.58,-10.73
7723,85,19,72,0,0,0,0,1,0.375,63.66,-38.71,7.95,63.64,-38.36,7.31
7724,95,27,80,0,0,0,0,1,0.288,55.59,-48.86,5.93,55.38,-48.2,5.88
7725,99,31,92,0,0,0,0,1,0.146,49.83,-59.84,14.83,49.86,-60.31,14.78
7726,100,34,92,15,0,0,0,1,0.34,45.65,-55.27,12.64,45.99,-55.21,12.78
7727,100,46,92,18,0,0,0,1,0.335,42.79,-49.29,11.92,43.15,-49.24,11.93
7728,100,63,94,0,0,0,0,1,0.092,41.6,-42.86,10.52,41.56,-43.09,10.51
7729,100,58,84,48,0,0,0,1,0.393,34.61,-33.02,0.33,35.05,-32.95,0.55
7730,86,32,81,5,0,0,0,1,0.315,58.84,-35.29,15.39,59.11,-35.68,15.21
7731,94,43,92,0,0,0,0,1,0.447,51.32,-44.88,18.78,51.35,-44.88,19.7
7732,97,51,97,1,0,0,0,1,0.41,46.18,-47.09,19.77,46.48,-47.13,20.37
7733,97,61,94,1,0,0,0,1,0.304,43.46,-39.81,13.19,43.76,-40.15,13.37
7734,96,76,91,0,0,0,0,1,0.399,39.42,-25.42,6.77,39.52,-26.04,7.24
7735,94,82,92,0,0,0,0,1,0.503,37.58,-15.14,7.57,37.85,-14.67,7.89
7736,95,83,91,0,0,0,0,1,0.221,37.62,-14.2,5.22,37.43,-14.2,5.43
7737,81,22,98,0,0,0,0,1,0.099,64.19,-38.25,44.37,64.1,-38.36,44.56
7738,86,15,95,0,0,0,0,1,0.173,62.37,-46.33,35.57,62.39,-45.79,35.41
7739,89,16,93,5,0,0,0,1,0.185,59.29,-48.75,30.09,59.28,-49.22,29.97
7740,89,34,94,1,0,0,0,1,0.24,56.43,-41.83,27.63,56.21,-42.03,27.94
7741,90,43,93,0,0,0,0,1,0.595,53.81,-37.98,23.77,54.07,-38.12,24.96
7742,89,58,96,0,0,0,0,1,0.184,50.38,-28.5,24.67,50.32,-28.84,24.61
7743,91,69,92,0,0,0,0,1,0.165,45.59,-22.16,16.45,45.6,-22.39,16.32
7744,35,9,100,16,0,0,0,1,0.108,77.81,-14.08,69.45,77.81,-13.89,69.16
7745,54,29,100,5,0,0,0,1,0.247,71.09,-14.51,59.96,71.38,-14.34,59.63
7746,61,45,100,10,0,0,0,1,0.347,63.99,-10.62,51.81,64.39,-10.65,51.6
7747,65,45,100,21,0,0,0,1,0.38,58.73,-12.89,45.99,59.15,-12.77,45.85
7748,76,60,100,12,0,0,0,1,0.339,53.09,-12.84,37.28,53.4,-12.81,36.91
7749,83,70,100,0,0,0,0,1,0.368,48.87,-10.46,29.96,49.19,-10.55,29.62
7750,85,78,100,9,0,0,0,1,0.273,43.07,-7.86,24.61,43.23,-7.92,24.2
7751,33,35,88,0,0,0,0,1,0.499,78.45,-1.19,52.6,78.81,-1.77,53.29
7752,29,40,96,0,0,0,0,1,0.377,77.51,2.48,65.64,77.06,2.27,65.02
7753,37,47,100,2,0,0,0,0,0.349,71.98,3.53,63.95,72.43,3.45,63.86
7754,61,61,100,5,0,0,0,1,0.264,59.81,0.79,47.12,60.1,0.8,46.96
7755,76,73,99,0,0,0,0,1,0.203,51.42,-0.47,33.22,51.3,-0.58,33.58
7756,84,81,99,0,0,0,0,1,0.343,43.74,-1.2,24.1,43.95,-1.29,24.67
7757,88,85,98,0,0,0,0,1,0.414,40.19,-2.56,17.94,39.82,-2.47,17.51
7758,12,14,100,16,0,0,0,1,0.134,82.25,-4.32,76.7,82.42,-4.42,76.64
7759,13,16,100,29,0,0,0,1,0.4,76.93,-4.28,72.83,77.47,-4.46,72.77
7760,65,58,100,18,0,0,0,1,0.454,56.53,-4.54,43.92,57,-4.68,43.72
7761,82,74,97,0,0,0,0,1,0.295,47.7,-5.98,26.68,47.95,-6.18,26.84
7762,90,82,98,0,0,0,0,1,0.157,40.37,-8.45,17.75,40.35,-8.4,17.99
7763,91,84,96,0,0,0,0,1,0.547,38.19,-7.1,12.99,38.21,-7.66,13.02
7764,93,87,99,0,0,0,0,1,0.524,35.63,-6.42,12.19,35.58,-6.95,12.38
7765,44,30,100,1,0,0,0,1,0.365,75.27,-8.73,64.76,75.57,-9.22,64.77
7766,44,36,100,9,0,0,0,1,0.185,71.51,-6.76,62.19,71.71,-6.6,61.97
7767,54,47,97,0,0,0,0,1,0.145,68.14,-4.86,53.24,68.21,-4.66,53.26
7768,74,66,99,0,0,0,0,1,0.593,55.12,-3.98,37.03,55.18,-3.17,36.87
7769,81,83,97,0,0,0,0,1,0.155,43.89,4.15,22.25,43.75,4.08,22.3
7770,87,84,96,0,0,0,0,1,0.373,40.7,-1.23,16.84,40.53,-1.48,16.59
7771,93,89,99,0,0,0,0,1,0.352,34.96,-4.16,12.04,34.76,-4.34,11.76
8003,73,65,67,0,0,0,0,1,0.591,56.64,-0.22,4.96,56.69,-0.39,5.63
8021,67,69,69,0,0,0,0,1,0.096,57.02,7.42,8.36,56.96,7.36,8.39
8062,69,78,57,0,0,0,0,1,0.2,53.59,16.27,-1.86,53.63,16.54,-1.98
8100,76,69,46,0,0,0,0,1,0.248,55.11,5.44,-11.27,55.05,5.58,-11.6
8201,86,59,47,4,0,0,0,1,0.546,53.57,-12.47,-15.85,53.34,-12.09,-16.43
8281,82,52,58,0,0,0,0,1,0.46,58.13,-15.87,-4.88,58.33,-15.93,-4.33
8321,80,58,74,0,0,0,0,1,0.384,57.02,-12.72,8.61,56.83,-12.34,8.76
Black,98,100,95,70,0,0,0,1,0.313,19.95,2.78,0.31,20.38,2.83,0.23
Black 0961,60,53,55,0,0,0,0,1,0.485,66.3,0.88,5.11,66.21,1.17,5.48
Black 2,92,92,100,81,0,0,0,1,0.348,21.63,0.22,6.77,22.08,0.19,6.6
Black 3,83,28,71,100,0,0,0,1,0.223,16.74,-5.52,1.82,16.67,-5.67,2
Black 4,21,85,78,100,0,0,0,1,0.18,17.62,4.5,5.66,17.44,4.49,5.82
Black 5,95,100,87,60,0,0,0,1,0.391,21.52,7.31,-3,21.88,7.11,-3.27
Black 6,100,14,0,100,0,0,0,0,2.004,10.93,-4.3,-8.22,12.5,-4.89,-6.22
Black 7,99,99,99,0,0,0,0,1,0.377,25.77,1.73,-0.18,25.54,1.49,-0.13
Blue 072,98,100,0,5,0,0,0,0,2.329,22.09,30.15,-47.82,25.11,28.8,-47.56
Blue 0821,68,0,2,0,0,0,0,1,0.073,79.69,-21.35,-25.1,79.61,-21.27,-25.01
Bright Green,96,8,78,0,0,0,0,0,1.429,59.14,-59.46,2.36,57.68,-57.61,2.74
Bright Orange,0,80,100,0,0,0,0,0,1.19,65.76,49.05,64.29,67,47.05,62.57
Bright Red,0,96,100,0,0,0,0,0,0.975,56.86,67.76,57.55,57.53,67.55,55.6
Cool Gray 1,16,12,12,0,0,0,0,1,0.248,92.48,0.33,1.26,92.33,0.18,1.26
Cool Gray 10,86,80,66,0,0,0,0,1,0.328,43.96,2.16,-8.05,43.75,2.03,-7.75
Cool Gray 11,92,87,76,0,0,0,0,1,0.753,37.82,0.6,-7.32,37.91,1.11,-7.62
Cool Gray 2,24,16,16,0,0,0,0,1,0.314,89.07,-1.72,0.09,89.17,-1.8,-0.21
Cool Gray 3,31,20,21,0,0,0,0,1,0.374,86.11,-1.45,-0.12,86.12,-1.41,0.26
Cool Gray 4,44,28,29,0,0,0,0,1,0.264,79.77,-2.37,-0.81,79.69,-2.57,-0.85
Cool Gray 5,50,37,34,0,0,0,0,1,0.306,75.39,-1.58,-1.16,75.4,-1.78,-1.03
Cool Gray 6,57,41,39,0,0,0,0,1,0.392,71.88,-2.16,-1.88,71.81,-2,-1.51
Cool Gray 7,67,51,45,0,0,0,0,1,0.539,65.18,-2.31,-4.03,65.42,-2.16,-4.57
Cool Gray 8,73,60,55,0,0,0,0,1,0.224,59.43,-1.94,-2.34,59.48,-1.79,-2.44
Cool Gray 9,81,71,60,0,0,0,0,1,0.21,51.4,-1.79,-6.07,51.36,-1.9,-5.88
Dark Blue,100,99,0,9,0,0,0,0,0.971,23.13,25.85,-48.53,24.35,26.29,-48.15
Green,98,6,81,0,0,0,0,0,1.337,57.73,-62.78,6.13,56.45,-61.23,5.05
Green 0921,60,0,37,0,0,0,0,0,0.066,81.11,-22.91,0.19,81.04,-22.83,0.21
Hexachrome Black,95,50,28,100,0,0,0,1,0.412,14.51,-1.57,-2.3,14.29,-1.68,-1.92
Hexachrome Cyan,100,14,0,0,0,0,0,0,3.043,54.63,-37.55,-52.4,57.77,-36.19,-49.52
Hexachrome Green,96,7,100,2,0,0,0,0,0.243,55.06,-64.58,32.45,55.17,-64.04,31.84
Hexachrome Magenta,9,100,0,15,0,0,0,0,0.508,50.35,72.59,-5.14,50.85,72.27,-5.04
Hexachrome Orange,0,78,100,0,0,0,0,0,0.978,67.2,45.35,66.01,68.25,44.4,64.05
Hexachrome Yellow,0,4,100,0,0,0,0,0,0.842,94.34,-4.88,94.83,93.6,-4.58,91.14
Magenta 0521,4,54,1,0,0,0,0,1,0.27,81.19,27.99,-5.73,81.05,27.8,-6.11
Medium Blue,100,25,0,0,0,0,0,0,0.36,55.82,-33.26,-50.03,55.82,-32.32,-49.1
Medium Purple,92,100,0,9,0,0,0,0,1.857,25.77,36.08,-42.25,27.86,34.28,-42.33
Medium Yellow,0,2,100,0,0,0,0,0,0.608,94.58,-5.78,93.72,94.11,-5.53,90.95
Neutral Black,100,64,25,96,0,0,0,0,0.737,14.95,-1.43,-4.46,15.97,-1.25,-4.67
Orange 021,0,85,100,5,0,0,0,0,1.757,63.82,53.32,62.94,63.04,50.72,57.28
PANTONE Yellow 2,3,8,100,0,0,0,0,0,0.841,90,-4,90,91.3,-3.81,88.89
Pink,33,95,11,0,0,0,0,1,0.751,52.41,61.36,-10.54,53.12,60.67,-10
Process Black,85,43,1,100,0,0,0,0,1.507,11.57,-0.08,-1.65,13.4,0.21,-2.58
Process Blue,100,24,0,1,0,0,0,0,0.881,55.24,-34.12,-50.29,56.01,-32.8,-48.91
Process Cyan,100,4,0,0,0,0,0,0,0.244,59.5,-39.42,-50.19,59.63,-39.05,-49.47
Process Magenta,0,100,7,15,0,0,0,0,2.027,50.53,75.75,-0.81,52.54,74.07,-0.83
Process Yellow,0,3,100,0,0,0,0,0,0.73,94.85,-5.57,93.6,93.99,-5.29,91
Purple,71,100,8,0,0,0,0,1,0.137,38.97,51.04,-27.15,39.01,51.29,-26.98
Red 032,1,98,89,0,0,0,0,1,0.103,56.05,70.21,44.03,56.15,70.13,44.11
Red 0331,0,57,18,0,0,0,0,1,0.293,80.4,30.35,3.96,80.69,29.89,4.04
Reflex Blue,99,100,0,5,0,0,0,0,1.547,22.64,28.83,-48.69,24.66,27.94,-48.22
Rhodamine Red,22,99,11,0,0,0,0,1,0.259,51.61,71.43,-5.32,51.87,71.33,-5.41
Rubine Red,0,100,34,1,0,0,0,0,2.342,52.82,78.15,11.53,55.24,76.94,11.37
Strong Red,0,100,36,2,0,0,0,0,1.875,53.02,77.27,11.86,54.96,76.29,11.74
Trans White,0,3,0,0,0,0,0,1,0.278,98.74,1.7,-0.64,98.76,1.87,-0.48
Violet,94,100,1,3,0,0,0,0,1.999,25.26,34.84,-44.53,27.87,33.87,-44.18
Violet 0631,54,63,1,0,0,0,0,1,0.102,65.44,18.99,-22.21,65.56,19.04,-22.2
Warm Gray 1,17,17,18,1,0,0,0,1,0.652,90.37,1.18,3.77,90.56,0.74,3.59
Warm Gray 10,80,76,72,5,0,0,0,1,0.738,47.8,2.96,1.53,47.98,3.48,1.25
Warm Gray 11,85,84,78,0,0,0,0,1,0.309,43.07,3.67,0.94,43.12,3.86,1.17
Warm Gray 2,30,26,29,4,0,0,0,1,0.764,83.18,0.52,4.55,82.86,1.03,4.62
Warm Gray 3,40,31,37,0,0,0,0,1,0.552,79.54,-0.18,5.22,79.8,-0.53,5.44
Warm Gray 4,47,40,41,0,0,0,0,1,0.508,75.47,1.06,4.16,75.57,1.2,4.73
Warm Gray 5,54,46,49,0,0,0,0,1,0.162,70.77,0.66,4.3,70.82,0.67,4.11
Warm Gray 6,58,49,51,0,0,0,0,1,0.287,68.04,0.54,3.55,68.38,0.55,3.45
Warm Gray 7,66,58,58,0,0,0,0,1,0.078,62.43,0.81,3.76,62.45,0.86,3.79
Warm Gray 8,72,64,61,0,0,0,0,1,0.271,57.81,0.99,2.28,57.78,0.89,2.5
Warm Gray 9,77,72,69,0,0,0,0,1,0.447,52.11,3.12,1.48,52.27,3.24,1.92
Warm Red,1,97,96,0,0,0,0,1,0.143,56.9,67.81,51.37,56.78,67.99,51.3
Warm Red,2,95,96,0,0,0,0,1,0.26,58.1,64.27,50.88,57.85,64.56,50.81
Yellow,0,4,100,0,0,0,0,0,0.622,94.35,-4.76,93.33,93.6,-4.58,91.14
Yellow 012,0,3,100,0,0,0,0,0,0.646,94.36,-5.13,93.72,93.73,-4.81,91.09
Yellow 0131,1,0,60,0,0,0,0,1,0.213,96.96,-5.84,41.97,96.66,-5.68,42.07
