Inkname                  ,C,M,Y,K,R,G,B,InGamut,DeltaE,Lin,ain,bin,Lout,aout,bout
7403,0,20,70,0,0,0,0,0,0.467,91.67,3.45,46.82,91.44,2.84,47.03
7404,0,13,87,0,0,0,0,1,0.313,92.51,-0.58,69.93,92.01,-0.66,69.73
7405,0,21,100,0,0,0,0,0,0.562,89.99,2.7,87.84,89.61,2,86.11
7406,0,28,100,0,0,0,0,0,0.672,87.32,7.52,86.22,87.2,6.47,84.18
7407,29,51,82,0,0,0,0,1,0.198,74.95,10.34,43.04,75.06,10.36,42.56
7408,0,38,100,0,0,0,0,0,0.722,84.01,13.04,83.15,84.43,11.94,80.89
7409,0,47,98,0,0,0,0,1,0.238,81.77,16.82,75.42,81.77,16.45,75.58
7410,0,54,70,0,0,0,0,1,0.541,80.15,23.65,39.9,80.08,23.23,40.66
7411,1,55,78,0,0,0,0,1,0.102,79.52,22.77,47.04,79.5,22.61,47.03
7412,21,72,93,0,0,0,0,1,0.29,66.87,29.58,52.02,66.68,29.88,51.78
7413,7,72,92,0,0,0,0,1,0.272,69.74,35.95,55.39,69.49,36.27,55.33
7414,0,75,100,34,0,0,0,0,1.023,59.08,34.74,56.76,60.17,33.94,55.66
7415,2,45,40,0,0,0,0,1,0.139,83.61,18.91,17.17,83.66,18.87,17.35
7416,1,88,79,0,0,0,0,1,0.294,63.01,56.28,36.56,63.28,56.05,36.82
7417,2,95,92,0,0,0,0,1,0.184,57.78,64.91,46.88,57.98,64.82,46.76
7418,16,92,73,5,0,0,0,1,0.441,56.01,55.75,24.83,56.1,55.73,23.98
7419,48,93,74,0,0,0,0,1,0.312,49.92,45.1,13.97,49.88,44.75,13.39
7420,17,100,65,54,0,0,0,0,0.376,38.76,51.64,12.93,39.19,51.41,12.86
7421,0,100,28,87,0,0,0,0,0.673,25.31,34,3.94,25.98,32.99,3.5
7422,0,32,10,0,0,0,0,1,0.174,89.77,14.84,1.88,89.88,14.65,1.98
7423,8,85,34,0,0,0,0,1,0.209,64.59,53.31,6.9,64.37,53.51,6.73
7424,4,92,21,0,0,0,0,1,0.213,60.64,65.47,1.65,60.4,65.63,1.75
7425,1,100,43,43,0,0,0,1,0.387,44.12,61.74,9.81,44.53,61.73,9.63
7426,0,100,66,56,0,0,0,0,1.703,39.35,57,17.73,41.19,55.17,17.35
7427,0,100,78,65,0,0,0,0,1.747,36.42,51.36,21.34,38.4,50.09,21.47
7428,76,100,75,38,0,0,0,1,0.523,30.68,31.96,0.65,31.26,32.57,0.61
7429,5,41,3,0,0,0,0,1,0.124,85.44,19.37,-4.16,85.51,19.31,-4.32
7430,12,51,7,0,0,0,0,1,0.082,80.33,24.44,-5.1,80.24,24.54,-5.12
7431,32,74,25,0,0,0,0,1,0.275,65.67,34.88,-3.92,65.85,35.24,-3.6
7432,45,86,39,0,0,0,0,1,0.304,55.74,41.74,-3.25,55.43,41.92,-3.26
7433,53,99,52,0,0,0,0,1,0.086,44.56,55.13,-0.58,44.47,55.11,-0.54
7434,60,98,59,0,0,0,0,1,0.197,42.74,50.08,0.3,42.92,49.86,0.45
7435,45,100,42,45,0,0,0,1,0.402,36.57,48.66,-2.33,37.04,48.55,-2.25
7436,7,22,0,0,0,0,0,0,2.488,94.12,9.51,-6.89,91.54,8.28,-4.54
7437,32,49,2,0,0,0,0,1,0.106,77.11,16.29,-13.22,77.18,16.2,-13.3
7438,33,64,3,0,0,0,0,1,0.213,70.44,27.71,-13.97,70.45,28.17,-14.18
7439,50,68,5,0,0,0,0,1,0.326,64.14,24.66,-19.95,63.79,24.8,-20.25
7440,60,76,7,0,0,0,0,1,0.312,57.48,27.74,-22.83,57.36,28.39,-23.21
7441,74,85,9,0,0,0,0,1,0.366,47.9,29.72,-29.33,48.2,29.91,-29.05
7442,84,97,12,0,0,0,0,1,0.245,35.38,36.82,-33.94,35.4,37.15,-33.69
7443,16,16,0,0,0,0,0,1,0.389,91.96,3.1,-6.33,91.83,2.84,-6.48
7444,45,34,0,0,0,0,0,1,0.569,78.6,2.97,-17.72,78.84,2.53,-17.85
7445,54,47,3,0,0,0,0,1,0.387,71.73,6.64,-20.17,71.48,6.8,-20.85
7446,77,65,4,0,0,0,0,1,0.488,57.05,7.62,-32.05,56.53,7.53,-32.33
7447,90,88,39,0,0,0,0,1,0.477,38.5,13.07,-26.91,38.29,12.56,-26.76
7448,93,95,76,0,0,0,0,1,0.663,31.77,11.26,-11.07,32.08,10.79,-11.57
7449,89,100,73,48,0,0,0,1,0.356,24.36,17.27,-8.54,24.83,17.13,-8.58
7450,40,25,0,0,0,0,0,1,1.038,82.66,0.26,-15.62,82,1.02,-15.53
7451,71,45,0,0,0,0,0,1,0.36,67.1,-1.7,-28.88,67.37,-2.04,-28.79
7452,74,61,2,0,0,0,0,1,0.128,59.64,5.98,-31.21,59.55,5.84,-31.41
7453,75,44,0,0,0,0,0,1,0.079,65.6,-4.9,-31.5,65.61,-4.89,-31.33
7454,85,49,16,0,0,0,0,1,0.244,58.87,-11.87,-30.17,59.05,-12.24,-30.26
7455,94,83,4,0,0,0,0,1,0.414,40.27,9.25,-44,40.37,9.73,-44.1
7456,85,76,4,0,0,0,0,1,0.239,48,10.84,-37.91,47.86,10.61,-38.17
7457,35,0,1,0,0,0,0,1,0.188,90.88,-9.21,-11.07,90.64,-9.18,-11.22
7458,73,16,15,0,0,0,0,1,0.331,72.96,-19.86,-21.84,73.32,-20.15,-21.7
7459,87,36,24,0,0,0,0,1,0.079,60.94,-22.27,-26.75,61.03,-22.26,-26.75
7460,100,0,0,18,0,0,0,0,1.347,54.72,-38.95,-47.26,56.01,-38.59,-45.47
7461,99,45,0,0,0,0,0,1,0.103,51.45,-24.11,-49.13,51.47,-24.38,-49.2
7462,100,71,10,20,0,0,0,1,0.281,38.27,-10.18,-42.3,38.55,-9.84,-42.15
7463,100,60,0,84,0,0,0,0,1.694,22.15,-7.35,-24.02,24.24,-6.65,-22.47
7464,55,0,27,0,0,0,0,0,0.096,83.36,-18.75,-3.84,83.4,-18.74,-3.71
7465,84,3,55,0,0,0,0,1,0.328,68.28,-38.91,-4.15,68.3,-38.55,-4.59
7466,94,3,47,1,0,0,0,0,0.647,61.6,-47.13,-17.86,61.54,-46.58,-18.88
7467,99,0,52,3,0,0,0,1,0.241,57.44,-55.09,-20.44,57.47,-54.63,-20.72
7468,98,58,33,0,0,0,0,1,0.186,46.85,-23.79,-32.79,46.76,-24.06,-32.62
7469,100,29,2,62,0,0,0,1,0.381,39.38,-25.16,-33.91,39.81,-25.01,-33.74
7470,100,45,36,54,0,0,0,1,0.36,37.64,-26.45,-24.19,38.06,-26.3,-24.1
7471,67,1,35,0,0,0,0,0,0.371,77.99,-25.47,-4.56,78.44,-25.17,-4.71
7472,78,4,41,0,0,0,0,1,0.158,71.68,-31.69,-8.91,71.56,-31.45,-8.73
7473,89,27,63,0,0,0,0,1,0.114,59.78,-37.71,-3.57,59.7,-37.47,-3.61
7474,100,54,59,0,0,0,0,1,0.268,46.34,-36.9,-19.75,46.19,-36.81,-20.14
7475,87,60,61,0,0,0,0,1,0.371,52.31,-17.39,-7.53,51.98,-17.68,-7.56
7476,100,80,70,18,0,0,0,1,0.654,33.6,-18.96,-14.02,34.26,-19.52,-13.88
7477,98,84,71,5,0,0,0,1,0.173,34.43,-12.15,-15.87,34.43,-11.95,-15.95
7478,63,1,51,0,0,0,0,1,0.143,78.97,-24.78,6.96,79.04,-24.53,6.98
7479,87,4,90,0,0,0,0,1,0.059,64.22,-49.96,30.15,64.24,-50.11,30.11
